字头	释义
安	1<形>安定;安稳;安宁;安全.《茅屋为秋风所破歌》：“风雨不动～山。”《归去来兮辞》：“审容膝之易～。”2<形>安适;安逸.《生于忧患,死于安乐》：“然后知生于忧患,而死于～乐也。”《琵琶行》：“予出官二年,恬然自～。”3<动>养;奉养.《曹刿论战》：“衣食所～,弗敢专也,必以分人。”《论语十则》：“老者～之,朋友信之,少者怀之。”4<动>抚慰;安抚.《孔雀东南飞》：“时时为～慰,久久莫相忘。”《赤壁之战》：“若备与彼协心,上下齐同,则宜抚之～,与结盟好。”5<形>安心;习惯于.《柳敬亭传》：“敬亭亦无所不～。”6<动>安置;安放.《失街亭》：“离山十里,有王平～营。”7<疑问副词>怎么;哪里.《陈涉世家》：“燕雀～知鸿鹄之志哉?”8<疑问代词>表处所.哪里;什么地方.《鸿门宴》：“沛公～在?”
谙	1<动>熟悉.《忆江南》：“江南好,风景旧曾～。”[引]<动>熟记《南史·陆澄传》：“虽复一览便～,然见卷轴未必多仆。”2<动>尝;经历;经受.范仲淹《御街行·秋日怀旧》：“残灯明灭枕头敲,～尽孤眠滋味。”
媕	1<形>随和他人，无主见。韩愈《石鼓歌》：“中朝大官老于事，讵肯感激徒～娿。”
媕	1<形>眉目传情的样子。《说文·女部》：“～，女有心～～也。”
盦	1<名>古器皿的盖子。《说文·皿部》：“～，覆盖也。”2<名>古时盛食物的器具。陶宗仪《辍耕录》：“古器这名，则有……壶，～，瓿。”3通“庵”。多用于古时的文人的书斋名或人名。
闇	1<动>蒙蔽；遮盖。《水经注·江水》：“渊上橘柚蔽野，桑麻～日。”【又】埋没；不行于时。《后汉书·班彪传》：“由是《乘》《梼杌》之事遂～，而《左氏》《国语》独章。”2<形>愚昧；糊涂。《后汉书·赵咨传》：“况我鄙～，不德不敏。”【又】不知晓，不懂得。嵇康《与山巨源绝交书》：“不识人情，～于机宜。”3<动>闭门。《梁书·乐蔼传》：“方见蔼～阁读书。”4<形>通“暗”，比喻政治黑暗或社会动乱。5通“黯”，深黑色。《齐民要术·杂说》：“深则年久色～也。”
闇	通“奄”，忽然。傅毅《舞赋》：“翼尔悠往，～复辍已。”
闇	通“谙”，熟悉。王谠《唐语林·政事下》：“军镇道里与骑卒之数，皆能～计之。”
闇	通“瘖”，闭口不说话。《榖梁传·文公六年》：“上泄则下～。”
岸	1<名>水边高处.《诗经·卫风·氓》：“淇则有～,隰则有伴。”2<名>山崖;台阶.《西京赋》：“襄～夷塗,脩路峻险。”3<形>高;高峻.《苦斋记》：“山田面峭壁拔起,岩崿皆苍石,～外而臼中。”4<形>高傲.黄庭坚《定风波》：“莫笑老翁犹气～。”
按	1<动>用手压或摁.《活板》：“以一平板～其面,则字平如砥。”2<动>抚;握.《鸿门宴》：“项王～剑而跽。”3<动>压抑.《赤壁之战》：“何不～兵束甲,北面而事之”4<动>控制.《周五夫军细柳》：“于是天子乃～辔徐行。”5<动>止.《失街亭》：“若街亭有兵守御,即当～乓不行。”6<动>查看;巡察.《雁荡山》：“～西域书,阿罗汉诺矩罗居震旦东南大海际雁荡山芙蓉峰龙湫。”7<动>审查;查究.《五人墓碑记》：“以吴民之乱请于朝,～诛五人。”【辨】按,抑.都有向下压的意思,但“抑”比“按”程度重,并且常用于抽象意义。
案	1<名>盛食物短腿不把盘.《长亭送别》：“若不是酒席间子母们当回避,有心待与他举～齐眉。”2<名>几案,矮长桌.《赤壁之战》：“因拔刀斫前奏～。”《熟读精思》：“凡读书,需整顿几～。”3<名>文书;案卷.《陋室铭》：“无丝竹之乱耳,无～牍之劳形。”4<动>通“按”.用手压或摁.《订鬼》：“则梦见夫人据～其身哭矣。”5<动>通“按”.察看;考察.《廉颇蔺相如列传》：“召有司～图,指从此以往十五都予赵。”6<动>按照,依照.《荀子·不苟》：“国乱而治之者,非～乱而治之之谓也。”7<连>于是;就.《荀子·臣道》：“是～曰是,非～曰非,是事中君之义也。”
暗	1<形>昏暗;无光亮。《游褒禅山记》：“至于山～昏惑而无物以相之,亦不能至也。”2<形>愚昧;糊涂。《隆中对》：“刘璋～弱。”3<形>。隐秘.《琵琶行》：“别有忧愁～恨生。”4<形>私下里,不露形迹地。《群英会蒋干中计》：“遂将书～藏于衣内。”5<形>悄悄地;轻轻地。《琵琶行》：“寻声～问弹者谁?琵琶声停欲语迟。
黯	1<形>深黑色。《采草药》：“花过而采,则根色～恶。”
黯	2<形>昏暗。蒲松林《山市》：“又其上,则～然缥渺,不可计其层次矣。”
黯	3<形>情绪低落,沮丧。柳永《玉蝴蝶》：“～相望,断鸿声里,立尽斜阳。”
昂	1<动>举起;仰起.《核舟记》：“矫酋～视。”2<动>抬高。《促织》：“～其直,居为奇货。”3<动>振奋。《五人墓碑记》：“激～大义,蹈死不顾。”
盎	1<名>一种口小腹大的容器。《农政全书·开垦上》：“江南园地最贵,民间莳葱薤于盆～之中。”2<形>丰厚,洋溢。《徐霞客游记》：“溪环石映,佳趣～溢。”
敖	1<动>遨游;现耍。《后汉书·张衡传》：“愁蔚蔚以慕远兮,越卬州而愉～。”2<动>通“熬”,煎熬.《史记·淮南衡山列传》：“政苛刑峻,天下～然若焦。”3<形>通“嗷”,声音嘈杂,喧闹。《荀子·强国》：“百姓讙～,则从而执缚之。”4<动>通“翱”,翱翔。《后汉书仲长统传》：“～翔太清,纵意容治。”5<名>通“廒”,储存粮食的仓库。《新唐书·李密传》：“～庾之藏,有时而赐。”6<名>地名。”7<名>姓。
敖	1<形>通“傲”,傲慢。《荀子·强国》：“百姓劫则致畏,嬴则～上。”2<动>调笑,戏弄。《汉书·东方朔传》：“白公卿在位,朔皆～弄,无所为屈。”
嗷	见“嗷嗷”“嗷嘈”
遨	<动>游玩;游荡。苏轼《赤壁赋》：“挟飞天以～游,抱明月而长终。”
聱	1<形>听不进别人的意见。《新唐书·元结传》：“彼诮以～者,为其不相从听。”2<形>文词念着不顺口。《朱子语类》：“某尝患《尚书》难读,后来先将文义分明者读之,～讹者且未读。””
謷	1<动>毁谤，诬蔑。韩愈《蓝田县丞厅壁记》：“至以相訾～。”2<形>高大。《庄子·德充符》：“～乎大哉，独成其天。”【引】志向远大，与众不同。《庄子·大宗师》：“～乎其未可制也。”
謷	1<形>通“傲”，傲慢；骄傲。《庄子·天地》：“虽以天下誉之得其所谓，～然不顾。”
鏖	1<动>激战,苦战。《汉书·霍去病传》：“合短兵,～皋兰下。”
鏖	2<形>喧扰。黄庭坚《仁亭》：“市声～午枕,常以此心观。”
鏖	3<动>通“熬”,久煮。苏轼《老饕赋》：“久蒸暴而日燥,百上下而汤～。”
媪	1<名>对老年妇女的敬称。《触龙说赵太后》：“老臣以～为长安君计短也。”2<名>泛指妇女。《史记·卫将军骠骑列传》：“给事平阳侯家中,与侯妾卫～通,生青。”3<名>地神。《汉书·礼乐志》：“后土富～,昭明三光。”
奥	1<名>室内西南角,古人设神主或尊长居坐的地方。《后汉书·周磐传》：“与我讲于阴堂之～。”【引】室内深处。《淮南子·时则训》：“凉风始至,蟋蟀居～。”【又】幽深隐秘或机要地方。扬雄《太玄经·文》：“酋考其亲,冥反其～。”2<形>深。《明史·广西土司传》：“其中多冥岩～谷。”3<形>深奥。王安石《诗义序》：“微言～义,既自得之。”4<名>主人。《老子·六十二章》：“道者,万物之～。”【引】主事人。《礼记·礼运》：“人情以为田,故人以为～也。”5<名>灶王神。《礼记2礼器》：“夫～者,老妇之祭也。”6<名>猪圈。《庄子·徐无鬼》：“吾未尝为牧,而牂生干～。”
奥	1<名>通“澳”,水边弯曲的地方;浑浊。《诗经·卫风·淇澳》：“瞻彼淇～,绿竹猗猗。”2<形>通“燠”热,温暖。《诗经·小雅·小明》：“日月方～。”3<名>可居住的地方,后作“墺”。《汉书·地理志上》：“九州逌同,四～既宅。”
骜	1<名>骏马。《察今》：“良马期乎千里,不期乎骥～。”2<形>通““傲”,傲慢;轻视。《韩非子·十过》：“夫智伯之为人也,好刊而～愎。”
墺	1<名>可居住的地方。《汉书·地理志》：“奥，读曰～，谓土之可居者也。”2水边。《字汇·土部》：“～，地近水涯者。”
懊	<形>烦恼;悔恨。刘禹锡《竹枝词九首》：“～恼人心不如石。”
懊	<形>内心悲伤。嵇康《琴赋》：“含哀～咿,不能自禁。
巴	1<名>一种大蛇,篆体巴字似蛇形。《山海经·海内南经》：“～蛇食泉,三岁而其骨。”2<名>古国名。《过秦论》：“西举～蜀。”3<动>热切盼望。《智取生辰纲》：“～到东京时,我自赏你。”4<动>紧贴;靠近。《孙吾空三打白骨精》：“前不～村,后不靠店。”
巴	<名>干肉，腊肉。《水浒传》：“将精肉片为～子。”【引】泛指干食品。杨万里《初食太原生蒲萄时十二月二日》：“淮北葡萄十月熟，纵可作～也无肉。”
羓	<名>干肉，腊肉。《水浒传》：“将精肉片为～子。”【引】泛指干食品。杨万里《初食太原生蒲萄时十二月二日》：“淮北葡萄十月熟，纵可作～也无肉。” 
拔	1<动>拔起;抽出。《垓下之战》：“力～山兮气盖世。”《鸿门宴》：“项庄～剑起舞。”2<动>选拔;提拔。《出师表》：“是以先帝简～,以遗陛下。”《陈情表》：“过蒙～擢,宠命优渥。”3<动>突出;超出。《梦游天姥吟留别》：“势～五岳掩赤城。”4<动>攻下;攻取。《廉颇蔺相如列传》：“其后秦伐赵,～石城。”
跋	1<动>翻山越岭。《左传·襄公二十八年》：“～山川。”2<动>踏;踩。《进学解》：“～前踬后,动辄得咎。”3<名>一种文体,写在书籍或文章之后,用来评价内容或说明写作经过。4<形>专横.范晔《后汉书·袁绍传》：“而遂乘资～扈,肆行酷烈割剥元元,残贤害善。”
把	1<动>握,持,拿。《卖炭翁》：“手～文书口称敕。”2<动>专权,控制。《狱中杂记》：“以～持公仓,法应立决。”3<动>把守。《失街亭》：“街亭有兵守～。”4<量>《林教头风雪山神庙》：“先去街上买～解腕刀。”5<介>将;以。苏轼《饮湖上初晴后雨》：“欲～西湖比西子。”6<动>给。《范进中举》：“都～与你去丢在水里。”【把酒】手持酒杯。杜甫《重过何氏五首》：“斯游恐不遂,～意茫然。”
罢	1<动>罢免。《芋老人传》：“及为吏,以污贿不饬～。”2<动>停止。《论语·子罕》：“欲～不能,既竭吾才。”3<动>结束。《琵琶行》：“曲～曾教善才服,妆成每被秋娘妒。”《廉颇蔺相如列传》：“既～归国。”【又】完;尽.《朝天子·咏喇叭》：“只吹得水尽鹅飞～。”
罢	<形>通“疲”。《过秦论》：“率～弊之卒,将数百之众。”《论积贮疏》：“～夫羸老易子而咬其骨。”
矲	<形>低矮；短小。陆游《藏丹洞记》：“地中获瓦缶～矮，贮丹砂云母奇石，或料然类黄金。”
霸	1<名>古代诸侯的盟主。《信陵君窃符救赵》：“此五～之伐也。”2<动>称霸。《垓下之战》：“遂～有天下。”3<动>出群超众。《文心雕龙·事类》：“才为盟主,学为辅佐,主佐合德,文采必～。”4<形>蛮横。《窦娥冤》：“要～占我为妻。”
霸	1<名>白色。《捕蛇者说》：“永州之野产异蛇,～质而黑章。”2<形>纯洁;干净。《石灰吟》：“粉身碎骨浑不怕,要留清～在人问。”3<形>明亮;光明。《赤壁则》：“相与枕藉手舟中,不知东方之既～。”4<形>清楚;明白。《荀子·天论》：“功名不～。”《书搏鸡者事》：“然使君冤未～,犹无益也。”5<形>真诚;坦白。《庄子·天地》：“机心存于胸中,则纯～不各。”6<动>禀告;陈述。《孔雀东南飞》：“便可～公姥,及时相遣归。”7<副>单单;只是。《红楼梦》：“要是～来逛逛呢便罢。”8<名>指罚酒用的酒杯,也泛指酒杯。左思《吴都赋》：“飞觞举～。”
百	1<数>十个十。2<数>概数。《谋攻》：“是故～战～胜,非善之善者也。”
捭	1<动>两手横击。庾信《竹枝赋》：“拉虎～熊,予犹稚童。”2通“摆”,摆弄。卢仝《蚀》：“角插戟,尾～风。”
捭	通“擘”,分开;撕裂。《礼记·礼运》：“其燔黍～豚。”【引】排去。《淮南子·要略训》：“外天地,～山川。”
败	1<动>毁坏;颓坏。《左传·僖公十五年》：“涉河,侯车～。”【又】<形>毁坏的。《促织》：“于～丛草处,探石发穴。”2<形>腐败,凋残。《卖柑者言》：“又何往而不金玉其外，～絮其中也哉？”《芙蕖》：“只有霜中～叶，零落难堪。”3<动>毁弃；背弃。《过秦论》：“于是从散约～，争割地而赂秦。”4<动>失败，指打败仗，亦指事情不成功。《殽之战》：“秦师轻而无礼，必～。”【又】<动使动>使……失败。《殽之战》：“～秦师于殽。”
拜	1<动>古代表示恭敬的礼节。两手合于掌于胸前，头低到挨着手，后世指下跪叩头。《陈情表》：“臣不胜犬马怖惧之情，谨～表以闻。”《鸿门宴》：“哙～谢，起，立而饮之。”【又】拜见；谒见。。《孔雀东南飞》：“上堂～阿母。”2<动>授给官职。《廉颇蔺相如列传》：“又以相如功大，～为上卿。”3<动>接受任命。《指南录后序》：“于是辞相印不～。”
稗	1<名>稻田杂草。《左传·定公十年》：“若其不用，用秕～也。”2<形>卑微。
班	1<动>分发。《尚书·舜典》：“～瑞于群后。”【又】分开；摊开。《左传·襄公二十六年》：“～荆相与食。”2<动>颁布。《汉书·翟方进传》：“制礼乐，～度量，而天下大服。”3<形>分离的，离群的。《送友人》：“挥手自兹去，萧萧～马鸣。”4<动>排列。《韩非子·存韩》：“～位于天下。”5<名>等级；次第。《隋书·百官志》：“徐勉为吏部尚书，定为十八～。”6<名>通“斑”，杂色。《离骚》：“纷縂縂其防合兮，～陆离其上下。”
般	1<动>还；回。《汉书·赵充国传》：“而明主～师罢兵，万人留田。”2<动>移动；搬运。《旧唐书·裴延龄传》：“自冬历夏，～载不了。”3<动>相连。《汉书·礼乐志》：“神之行，旌容容，骑沓沓，～纵纵。”4<量>样，种类。王建《宫词》：“云驳花骢各试行，一～毛色一～缨。”5<动>通“班”，分给，赏赐。《墨子·尚贤中》：“～爵以贵之，裂地以封之。”6<形>通“斑”，杂乱。《汉书·贾谊传》：“～纷纷其离此邮兮，亦夫子之故也。”
般	1<动>盘旋；旋转。《礼记·投壶》：“宾再拜，受，主人～还曰辟。”2<形>通“忭”，快乐；高兴。《荀子·赋》：“忠臣危殆，谗人～矣。”3<形>通“泮”，水边高处。《史记·封禅书》：“鸿渐于～。”
颁	1<动>分赐；分赏。《记王忠肃公翱事》：“戟行皇～僧保所货西洋珠于侍臣，某得八焉。”2<动>发布，颁布。《礼记·明堂位》：“制礼作乐，～度量，而天下大服。”3<形>通“斑”。《齐桓晋文之事》：“～白者不负载于道路矣。”
斑	<名>杂色的花纹或斑点。《晋书·王献之传》：“管中窥豹，时见一～。”
阪	<名>山坡。《诗经?·郑风·东门之墠》：“东门之墠茹藘在～。”元稹《当来日大难行》：“当来日，大难行，前有～，后有坑。”
板	1<名>木板。《狱中杂记》：“求脱械居监外～屋,费亦数十金。”【又】泛指扁而平的片状物。《活板》：“先设一铁～。”2<名>通“版”,印刷的字版。《活板》：“～印书籍,唐人尚未为之。”3<名>乐器中打节拍的板。《柳敬亭传》：“亡国之恨顿生,檀～之声无色。”4<名>板子,旧时笞刑刑具。关汉卿《金线池》：“既然韩解元在此替你哀告,这四十～便饶.。”5<形>呆板;不灵活。郭若虚《图画见闻志》：“～者,腕弱笔痴。”6<形>板结。宋应星《天工开物》：“凡种绿豆,一日之内,遇大雨～土,则不复生。”7<形>不通融。姚之骃《元明事类钞·张板知名》：“时人以其执法,号为张～。”
版	1<名>筑墙用的夹板。《烛之武退秦师》：“朝济而夕设～焉。”2<名>古时写字用的木片。刘禹锡《国学新修五经壁本记》：“其制如～牍而高广。”3<名>古代大臣上朝拿着的手板。《三国志·吴·朱治传》：“权常亲迎,执～交拜。”
办	1<动>办理;治理。《史记·项羽本纪》：“项粱常为主～。”(主,主持)2<动>处罚;惩戒。《三国志·蜀书·费祎传》：“君信可人,必能～贼者也。”3<动>做成;具备。《孤儿行》：“大兄言～饭,大嫂言视马。”《赤壁之战》：“船,粮,战俱～。”4<动>对仗。《赤壁之战》：“卿能～之者诚决。”5<动>创设。《冯婉贞》：“是年谢庄～团,以三保勇而多艺,推为长。”6<动>置;筹措。《乐府诗集·陇西行》：“促令～粗饭，慎莫使稽留。”
半	1<名>一半,二分之一。《信陵君窃符救赵》：“侯生曾无一言～词送我。”2<名>中间。《登泰山记》：“～山居雾若带然。”
半	<量>大块。《汉书·李陵传》：“令军人持二升糒,一～冰。”
伴	1<名>同伴;伙伴;伴侣。《闻官军收复河南河北》：“白日放歌须纵酒,青春作～好还家。”2<动>陪伴;陪着。屈原《悲回风》：“～张弛之信期。
邦	1<名>诸候的封国,泛指国家。《季氏将伐颛臾》：“～分崩离析而不能守也。”2<动>分封。柳宗元《封建论》：“～群后。”(后,即诸侯)
浜	<名>小河沟。朱长文《吴郡图经续记·城邑》：“小～别派,旁夹路衢。”
榜	1<动>捶打;捶击。司马迁《报任安书》：“受～棰。”2<名>木牌;匾额。《世说新语·巧艺》：“魏明帝起殿,欲安～,使仲将登梯题之。”3<名>告示,公布的名单。杜牧《及策后寄长安故人》：“东都放～未花开。”【又】张贴告示。《汉书·崔骃传》：“开鸿都门～卖官爵。”
榜	<名>矫正弓箭的工具。《韩非子·外储说右下》：“～檠者,所以矫不直也。”
榜	<名>划船用的工具。《涉江》：“齐吴～以击汰。”【又】<动>划(船)。《宋书·朱百年传》：“辄自～船送妻还孔氏。”
牓	1<名>牌匾；匾额。杜甫《岳麓山道林二寺行》：“莲花交响共命鸟，金～双回三足乌。”2<名>告示；文告。《北齐收·马嗣明传》：“数处见～，云有人家女病。”3<名>题写。刘挚《临湘县阅武亭记》：“据以大亭，～曰‘阅武’，以时临视其艺。”
牓	通“妨”，妨碍。《论衡·自纪》：“母骊犊骍，无害牺牲；祖浊裔清，不～奇人。”
傍	<动>靠近;临近。《木兰诗》：“双兔～地走,安能辨我是雄雌?”【又】依靠;依附。《晋书·王彪传》：“公阿衡皇家,便当倚～先代耳。”
傍	1<名>旁边;侧面。《孔雀东南飞》：“两家求合葬,合葬华山～。”《张衡传》：“～行八道,施关发机。”【傍妻】妾。《汉书·元后传》：“好酒色,多取～。”
谤	1<动>公开指责别人的过失。《召公谏厉王弭谤》：“厉王虐,国人～王。”《邹忌讽齐王纳谏》：“能～讥于市朝,闻寡人之耳者,受下赏。”2<动>毁谤。《屈原列传》：“信而见疑,忠而被～。”【辨】诽,谤,讥.都有指责别人过错或缺点之意.谤,是公开指责;诽,是背后议论、嘀咕;讥,是讥刺.
徬	同“彷”。见“徬徨”。
徬	<动>附行。《周礼·地官·牛人》：“与其牵～。”
磅	见“磅礴”。
包	1<动>裹;包住。《鲁提辖拳打镇关西》：“那店小二将手帕～了头。”《范进中举》：“即便～了两锭,叫胡屠户进来。”2<动>包括;包容。《过秦论》：“席卷天下,～举宇内。”【又】包藏。《雁荡山》：“皆～在诸谷中。”
褒	1<名>宽大的衣襟。《淮南子·汜论》：“岂必～衣博带。”李白《嘲鲁儒》：“秦家丞相府,不重～衣人。”2<动>表扬;赞扬。《汉书·王成传》：“宣帝最先～之。”《答李翊鸪》：“非敢～其可褒而贬其可贬也。”
宝	1<名>宝物;珍贵的东西。《廉颇蔺相如列传》：“和氏璧,天下所共传～也。”【又】<名意动>以……为宝;珍视;珍爱。《孟子·尽心》：“～珠玉者,殃必及身。”2<名>泛指珍贵的事物。《过秦论》：“不爱珍器重～肥沃之地。”3<形>珍贵的。《涉江》：“被明月兮珮～璐。”
保	1<动>抚养。《论贵粟疏》：“虽慈母不能～其子,君安能以有其民哉。”2<动>保卫;保守。《隆中对》：“若跨有荆、益,～其岩阻。”《失街亭》：“倘魏兵骤至,四面围定,将何策～之。”【又】<动>守住;保住。《原君》：“虽然,使后之为君者果能～此产业。”《谭嗣同》：“有朕位几不～。”3:<动>保存;保全。《活板》：“升死,其印为予群从所得,至今～藏。”【又】<动使动>使……安定。《齐桓晋文之事》：“～民而王,莫之能御也。”4<动>担保;保证。《赤壁之战》：“～为将军破之。”5<名>仆役;佣工。《史记·栾布传》：“(布)穷困,赁佣于齐为酒人～。”6<量>旧时户籍编制单位。7<名>通“褓”。《后汉书·桓荣传》：“昔成王幼小,越在襁～。”
鸨	<名>比雁略大的一种鸟,背上有斑纹,不善于飞,而善于奔跑。杜甫《枯柏渡》：“急流～鹢散,绝岸鼋鼍骄。”2<名>旧社会对妓女或妓女养母的称呼。3<名>通“駂”,黑白杂毛的马。《诗经·郑风·大叔于田》：“叔于田,乘乘～。”
葆	1<形>草木繁盛。《汉书·燕刺王旦传》：“当此之时,头如蓬～,勤苦至矣。”2<名>把羽毛挂在竿头制成的仪仗,帘用在车上。张衡《西京赋》：“垂翟～,建羽旗。”3<动>通“保”,保护;保全。《战国策·秦策四》：“齐魏得地～利,而详事下吏。”4<名>通“褓”。《史记·赵世家》：“乃二人谋取他人婴儿负之,衣以文～,匿山中。”5<名>通“堡”,小城堡;土堡。《墨子·迎敌词》：“出～,循沟防,筑荐通涂。”6<形>通“宝”,珍贵。7<动>通“包”,包裹。《墨子·公孟》：“是犹命人～而去其冠也。”8<形>通“褒”,大;高。《礼记·礼器》：“不乐～大。”
报	1<动>断狱,判决罪人。《韩非子·五蠹》：“闻死刑之～,君为流涕。”2<动>报恩;报答。《陈情表》：“尽节于陛下之日长,～养刘之日短也。”3<动>报仇;报怨。《荆轲刺秦王》：“然则将军之仇～,而燕国见陵之耻除矣。”4<动>答复;回信。《廉颇蔺相如列传》：“计未定,求人可使～秦者。”《西门豹治邺》：“烦大巫妪为入～河伯。”5<动>到……去,前往。《孔雀东南飞》：“卿但暂还家,吾今且～府。”
