ID	釋文
837	斤 ， 九月庚子就人陳君至付關佐賞
838	延告西部候史臨前兼南部今罷守左後候長有
839	教 ， 記綏和二年三月己卯起廷
840	五月庚子錢更吏居延王翁稚入關 ， 輩十一
841	其一斤治書繩
842	"
驚糒三石毋=嬰塢戶
                鼓"
843	"如律令敢言之
/掾臨守令史襃佐憙"
844	蒙宜成里朱昌年廿五
845	"出
賦錢三千六百
以給士吏王相四月盡六月奉"
846	"年卅
年十一
年四"
847	"
鍭百"
848	河內郡野王敬老里李偃
849	屋蘭騎士滅胡里蘇乙
850	出糜八斗四升
851	三•姑臧沙上
852	三月中入 ， 卩
853	"一兩
二"
854	周卿藏翁
855	戍卒淮陽郡譙西成里黃拾 ， 金城
856	車一乘馬一匹駱牡齒七
857	雒陽壽陽里董方年卅字子候 ， 乘泭入
858	一矢五十 ， 逐命長安舍郡觝 ， 吏
859	河內郡溫倚林里楊眾五十五
860	上黨郡泫氏市
861	敢言之/佐通
862	使出之叩=頭=
863	箕卌一
864	出瓦箕十枓十
865	田卒上黨邨留
866	部左後行
867	戍卒上黨郡銅鞮
868	寫移敢言
869	敢言之
870	■第十一方
871	隧長輔迎
872	功 ， 十月甲子入 ， 劍一
873	年三十五
874	五十劍一
875	未受正月食
876	米二石 ， 鹽三斗
877	日壬午出
878	黑色 ， 厶
879	河南郡雒陽西里公乘趙強年廿一 ， 弩一矢五十枚 ， 卩
880	大婢多錢一人 ， 一月食一石三斗 ， 三月至九月食九石一斗積七月 ，卩
881	戍卒南陽郡魯陽鄧里大夫尹我年廿八
882	"吉佐並敢告尉史步昌里張宣自言取
二月辛巳尉史豐至敢言之謹
過所如律令/
詣詣事"
883	君君君
884	"建平四年二月
使願以令取傳
居延縣索關"
885	觻得丞印
886	"        
肩水候長甯稚卿
 ， 肩水候長
 ， 肩水候"
887	不當始
888	莫當君言谷內
889	"為觻得騎士千秋里李
水倉穀小石卌五石輸居延"
890	"
律令/令史成"
891	炊帚三百枚
892	
893	"守糞土
臣臨昧
死再拜
上書吏"
894	肩水金關
895	
896	•關嗇夫王卿發
897	候長得望十月甲寅 ，
898	河南郡緱氏武平里程宗年七尺二寸黑色 ， 牛二車一兩
899	奉世年卅七尺五寸黑色
900	"              六月戊寅北出
尺八寸一匹騂駮齒四歲高五尺八寸"
901	四月癸卯北食故出
902	律令/掾敞令史勝
903	居延卅尉都史孤山里大夫梁
904	下餔時入關
905	戍卒趙國邯鄲待里公乘宋張利年卅六
906	河平元年十二
907	今毋餘藥臼
908	元延元年七月丙寅朔乙酉中郷
909	十一日之氐池辟驗辟吏左君賓書
910	出
911	"壽貴里家去太守府一里 ， 產觻得縣
二月一日    ， 觻得縣人"
912	不敢望得小吏並竊不勝權=願
913	"
里年長物色所乘用"
914	伏地再拜丈人足下
915	厶伏地再拜言
916	受肩水蓬火節有驚
917	"朔反三日
申酉朔反二日"
918	戍卒上黨郡屯留案里
919	車馬一兩 ， 四月八日出
920	"               其一石
出麥二石四鬥   一石四"
921	殷昌年廿八
922	•凡入六十六萬
923	觻得利成里程年
924	尺下廣丈深四尺立水二
925	雒五十枚
926	升九侖
927	當其償入臧獄已決
928	年卅黃色馬
929	月戊子朔甲午北鄉嗇
930	刁廣大奴記長七尺黑色
931	中酒泉會水以
932	千人舍為橐他轉輸
933	繩或短小縵惡
934	鹿布里已齊
935	充國從者居延里簪褭
936	關嗇夫居延鉼庭里薛安世
937	牛二弩一矢五十枚
938	右第卌方四人
939	閏月辛酉張掖
940	付登山隧長陽
941	"丁 ， 丁
丑 ， 未 ，"
942	適千里
943	七月盡
944	"里張廣  ， 大車一
          黃犗"
945	"甘露二年五月己丑朔甲辰朔丞相少史充御史守少史仁以請詔有逐驗大逆無道故廣陵王胥御者惠同
產弟故長公主蓋卿大婢外人移郡大守逐得試知外人者故長公主大奴千秋等曰外人一名麗戎字中夫前大子守觀
奴嬰齊妻前死麗戎從母捐之字子文私男弟偃居主馬市里弟捐之姉子故安道侯奴材取不審縣里男子字游為麗戎
聟以牛車就載藉田倉為事始元二年中主女孫為河閒王后與捐之偕之國後麗戎游從居主杌棻弟養男子孫丁子沱元鳳元年
中主死絕戶奴婢沒入詣官麗戎遊俱亡麗戎脫籍疑變更名字匿走絕迹更為人妻介罪民閒若死毋從知麗戎此
時年可廿三四歲至今年可六十所為人中壯黃色小頭黑髮隋面拘頤常戚額朐頻狀身小長詐廆少言書到二千石遣毋害都吏"
946	"嚴教屬縣官令以下嗇夫吏正父老襍驗問鄉里吏民賞取婢及免婢以為妻年五十以上刑狀類麗戎者問父母昆弟本誰生子務
得請實發生從迹毋督聚煩擾民大逆同產當坐重事推跡未窮毋令居部界中不覺得者書言白報以郵亭行詣長安
傅舍重事當奏聞必謹密之毋留如律令
六月張掖大守毋適丞動敢告部都尉卒人謂縣寫移書到趣報如御史書律令敢告卒人/ 掾佷守卒史禹置佐財"
947	"七月壬辰張掖肩水司馬陽以秩次兼行都尉事謂候城尉寫移書到廋索部界中毋有以書言會廿日如律令/掾遂守屬況
七月乙未肩水候福謂候長廣宗寫到廋索界中毋有以書言會月十五日須報府毋如律令/令史"
948	"地節三年
閏月吏民
出入關致籍"
949	田卒平干國張榆里簪褭呂儋年卌二
950	河南郡雒陽宜歲里王富 ， 乘騩牡馬一匹軺車一兩弩一大丸一矢五十枚刀劍各一
951	"新汲令史德里孫世 ， 馬
，一 ， 劍一刀一弓一矢卅三 ， 丿"
952	戍卒汝南郡召陵倉里宋猜 ， 年廿五
953	戍卒梁國已氏泗亭里當時年三 ，丿
954	觻得騎士萬年里李喜
955	胡臨呼【j上“一”下“勿”】一 ， （ㄢ）？
956	故居延尉丞王卿妻宣=君=子小女君至吏十四人私從者
957	田卒趙國襄國長宿里龐寅年廿六 ， 丿
958	月卒一旦有校兵者欲何應之
959	嗇夫
960	鄣卒胡少 ，丿
961	曲河卒鄐釘 ， ~（豎）
962	今毋餘緯
963	張掖肩水塞閉門關嗇夫糞土臣
964	戍卒趙國邯鄲上里皮議 ， 車工
965	狀爵簪褭居觻得富里姓虞氏年卌五歲迺本始
966	叩頭再拜頃言
967	"酒寬小人過章唯次公察過前足過
章金關亭章得廣具待次公會莫"
968	"章幸=甚=
進胡"
969	出鹽一斗七升 ， 四月丙令拓以廩止虜隧卒郜賢為張定刑留取三月四月食
970	鞭各一劍大刀各一櫝丸
971	司馬從者二人 ，馬一匹案勒鞭各一劍大刀各一弓櫝丸
972	車牛一兩 ， 丨丨 ， 劍一
973	如律令/掾市客令史可置
974	戍卒鉅鹿南【j“蠻”去掉“虫”】元里郭廣利
975	建德安平毋官獄徵事以令為取傅謁移縣道河津關毋岢留止敢言之
976	里橋定 ， 牛車一兩凡牛二
977	戍卒淮陽郡城父邑楊里
978	田卒趙國尉文翟里韓
979	觻得騎士道德里阮漢
980	軺車三乘馬八匹即日平旦入關張掖大守卒史
981	石南卒驩喜里張致子
982	張掖郡肩水部肩水當井隧戍卒夏非人•亡
983	從者望垣萬年里季利世 ， 弓一矢十四 ， ~
984	肩水都尉
985	石南卒單遂
986	"曲（？）卒謝充
， 丿"
987	"
用板長丈（？）廣尺厚五寸"
988	日勒丞王勝 ， 馬二匹軺車二乘 ， 小史脩里王奉光丿
989	成里吳疾去卌 ， 丿
990	觻得騎士安定里
991	"牛一青特
大車一兩  ， 車"
992	賢年卅二
993	幸=妻子夫 ， 持牛車一兩
994	長卿足下
995	刀一
996	使  同隧卒同郡縣棘里吳
997	而劾之狀具此
998	令史充國
999	"百錢 ， 廿二錢 ， 今見錢二百一十五方【j上“橫折”下“豎橫折”，即ㄢ】
二斗它二千石未出
三百 ， 其二人錢五千七百付大司農未出•七千六百五十"
1000	弘農郡陝倉里蔡青 ， 葆養車騎馬一匹騩牡左剽齒五歲高五尺八寸半名曰張中 ， 大奴昌 ，【j上“橫折”下“豎橫折” ，即ㄢ】
1001	肩水隧卒陳 ， 貰賣布襲一領布絝一兩並直八百界
1002	吏賀將漕卒
1003	湯 ， 以訾家為吏迎事觻得
1004	以食臨渠卒張誼九月十月
1005	隧長安成以令為更封
1006	大如
1007	審端貰賣布復袍一領
1008	觻得騎士市陽里
1009	令寫移檄
1010	僊巳小女盛 ， 客
1011	車一乘馬三匹牛車九兩兵
1012	言之從關嗇夫貰【j左“米”右“翟”】栗
1013	牛車一兩 ， ~
1014	國私兵舉四時簿使都護大守府
1015	張掖郡中正光占
1016	" ， 唯子光
毋置意"
1017	肩水候官
1018	里夏解之壬寅行到居延
1019	田卒平干國廣平澤里簪褭李田利里年廿六
1020	戍卒梁國已氏
1021	戍卒梁國已氏官里陳可置
1022	丿
1023	為田七十五畝
1024	日勒騎士延壽里張定
1025	秋華里房椑
1026	"之宜歲里公乘王富年卅五歲自言為家私
言之八月壬子雒陽丞大移所過縣"
1027	四月壬子入
1028	戍卒梁國睢陽秩里不更丁姓年廿四 ， 庸同縣駝詔里不更廖亡生年廿四
1029	當陽卒郭玉柃 ， 六石具弩一稾矢五十
1030	施刑屯居延作一日當二
1031	"故第四農長閻安居一名充河
農丞適大常
馮廣昌穎川郡陝"
1032	收吏計以責如記上
1033	至觻得迎奉候當
1034	宜逐捕亡民安樂里發赤張掖
1035	敢以家
1036	尉壽王襍
1037	長止一
1038	"足下甚苦事
長常賢幸甚"
1039	"             ，丙寅七日卩
月朔大 ，丁卯八日卩
              ， 戊辰九日卩
               ， 己巳十日卩
               ，丁亥廿八日
              ，戊子廿九日卩
               ，己丑卅日"
1040	上小畜簿
1041	登山卒莊歐
1042	"丑命加笞八百要斬
丑命加笞八百要斬
月丁未命笞二百棄市"
1043	水金關寫
1044	"
小女偃王
子小女=足"
1045	 ， 伏地再拜過
1046	肩水候官行者
1047	張
1048	"蘭廿二 ， 靳
冠十七 ， 靳幡
服十七 ，"
1049	戍卒淮陽郡陽夏高里鄧
1050	移過所縣邑如
1051	左
1052	車一兩
1053	五月丙寅嗇夫延坐受
1054	鄣卒陳傳 ，
1055	鄣卒審定
1056	移金關塞從者如
1057	•肩部
1058	唯
1059	長言 ， 出錢九十【j左“米”右“翟”】麥二石=卌五
1060	幸=甚=
1061	合昌
1062	"水宰封書
案如書以"
1063	"以律
尉等叩"
1064	河內西平里不更王安
1065	河南郡雒東史里龐偶
1066	司馬 ， 馬一匹案勒鞭
1067	入穀簿
1068	田卒趙國襄國下廣里張從
1069	謁者里范壽
1070	子大常陽陵
1071	北巷里蘇廣志•牛車
1072	匹大車十三兩牛
1073	"元康四年十一月
百【j左“糹”右“勾”】至五年"
1074	地節二年七月戊子嗇夫長生封
1075	本始二年八月辛卯朔戊申居延戶曹佐
1076	十月戊子出關
1077	"地節三年十一月癸未朔辛丑軍令史遂敢言之詔書發三輔大常中二千 
里自言作日滿•謹案十一月乙酉"
1078	時火從西方來
1079	
1080	河南郡雒南樂里新世
1081	牛車一兩
1082	戍卒鉅鹿郡曲周孝里功師卷
1083	河南郡陽大里大女張
1084	在前留意
1085	登從史【j“蠻”的上半部分】弘
1086	田卒梁國睢陽平居里
1087	戍卒梁國睢陽丞筐里
1088	田卒趙國柏人
1089	戍卒梁國睢陽中丘里不更李
1090	地節四年四
1091	至本始
1092	居延都尉客雍男子薌賓名定一名
1093	君從事
1094	"小斤一 ， 小椎一
小斧一 ， 【j左“木”右“齒”】二
小棰一"
1095	伏地
1096	"弓二
矢卌一"
1097	昏時出關•護渠
1098	復重趣
1099	長卿
1100	里宋當
1101	月丙戌騂
1102	弩一矢廿四枚
1103	陽東昌里不更
1104	士夏奉世年廿八今睢陵里不更張德年廿六 ， 丅
1105	更竟里韓誤詣居延
1106	三石具弩 ， 稾矢五十【j上“亡”下“虫”】矢百五十
1107	劍一刀一九月甲子封
1108	戍卒鉅鹿南【j“蠻”去掉虫】延年里安都
1109	"                     ，弩一
河內溫東郭里不更王賢 ， 矢廿枚"
1110	"本始六年二月乙卯府
匈奴虜入河泉"
1111	戍卒魏郡梁期來趙里王相年
1112	所將胡騎秦騎名籍
1113	牛車一兩
1114	累山卒富
1115	戍卒梁睢陽宜
1116	安定里刑定年卅五
1117	南蒲里蘇堨
1118	柘里蘇通
1119	襄國汜里
1120	敢言之都
1121	戍卒鉅鹿曲迎利里
1122	疾心腹寒炅未能
1123	庸同縣屠馬里不
1124	牛車一兩
1125	驩喜卒耿充
1126	丁巳夜定昏
1127	將訾家車廣都
1128	地節二年八月癸
1129	中部候長賀 ， 朔戊子八月辛
1130	亭隧吏常
1131	八月乙未肩水令
1132	縣徐里不更董毋傷年
1133	宣曲胡騎蘇大已坐賊殺
1134	司馬丞從者觻得萬年里
1135	屋蘭守左尉德
1136	呂益壽以來
1137	橐他鄣卒程亭
1138	庚子肩水
1139	時解何
1140	不更蔡野年廿四 ，  丿
1141	收降隧卒李定
1142	"劍一
刀一"
1143	一兩 ，  ~
1144	劍一
1145	逐蓬火
1146	驛駒里尹貴年卌七丶
1147	唯府所令
1148	夫
1149	報敢
1150	將吏
1151	"酒
四少五 ， 五百"
1152	南陽里張【j左“黑”右“”】
1153	出同
1154	
1155	
1156	尚易
1157	閏月丙申驪靬長樂亡移書報府所
1158	
1159	卒路人
1160	
1161	塞尉長孫
1162	足下
1163	二百五
1164	吏
1165	【j左“言”右“”】之候
1166	二三百少卅又責長孫大母
1167	錢百六十五
1168	
1169	"為長
寇臨"
1170	"
又茲沒入馬"
1171	安甚善謹
1172	"
不
恩"
1173	
1174	
1175	"苦候望事冬時伏願子元近衣進
蓬火事"
1176	"數以上
護之"
1177	六月乙卯都護丞
1178	"匹
匹
匹
匹"
1179	錢五十
1180	"水
"
1181	本始
1182	吏
1183	"吏民
"
1184	地節
1185	
1186	
1187	
1188	
1189	一 ， 丿
1190	又
1191	少卿足下善
1192	君令
1193	
1194	"出錢廿八買絳
出錢卌八買復卩"
1195	郡陽河里不更朝年廿六
1196	•右奴婢有駕駕赦罪一等以上其證
1197	
1198	【j上“橫折”下“豎折橫折撇”】 ㄢ（？）
1199	延史陳卿案
1200	"幸甚言得
書"
1201	日勒騎士德里魯客
1202	大辟
1203	望見塞外苣
1204	重光
1205	三月辛未旦
1206	
1207	敢言之七月戊寅
1208	"	日勒丞"
1209	遠望隧
1210	
1211	" ， 五百九十五人
百一人 ， 積作五百一十八丈八尺五寸"
1212	肩水
1213	
1214	辟之卒陳害
1215	等當還
1216	適
1217	臨陳卒耿泄
1218	車行至公願少卿
1219	以騎士
1220	一
1221	
1222	
1223	復起隧卒郜
1224	
1225	剽隧卒陳布
1226	賜記奉聞
1227	十四
1228	
1229	
1230	奉
1231	
1232	~
1233	太守府入辛巳行
1234	"
小鍤
小"
1235	入小
1236	奴
1237	賢 ， 牛車一兩
1238	杏陽里
1239	厚
1240	報
1241	藉船累計移
1242	" ， 
予薛 ，"
1243	弘百付
1244	二月庚子斥免令
1245	肩水
1246	張掖大
1247	憙 ， 劍一
1248	矢
1249	軺車一乘馬一匹
1250	人
1251	坐傷人
1252	霸入
1253	不肖
1254	卿足下
1255	
1256	
1257	肩水候官地節二年
1258	
1259	蓋
1260	•七月戊午關佐則所食過客簙
1261	候長代杜襄
1262	關嗇夫
1263	" 見事
井"
1264	丞郭處
1265	日勒騎士便護里王通賢今
1266	入
1267	五月癸巳
1268	候長
1269	足下
1270	五月已未出
1271	一 ， 丿
1272	一
1273	今史鄭充
1274	戍卒梁國已氏
1275	一
1276	戍卒魏郡武安宜里
1277	不更陳贛年卅四
1278	從方李
1279	者
1280	樂昭年
1281	
1282	律令
1283	壬午
1284	
1285	地節二年十二月丁未肩水
1286	淮陽郡新郪多積里陳廣
1287	田卒魏郡犁陽南利里大夫丘漢年廿三 ， 長七尺二寸黑色 ， 丿
1288	戍卒南陽博望邑徐孤里蔡超年卅八丶
1289	東閈里簪褭米侵年卅七
1290	來年卅一
1291	
1292	里李弘 ， 牛車一兩 ， 弩一矢卅劍一大刀一
1293	貟音叩頭白
1294	"三石
二石嬰一"
1295	移過所縣邑毋苛留如律令/令史官 ， 丿
1296	章曰令印
1297	成漢里公乘章嚴年十九•葆姑臧休神里任昌年卌五字幼
1298	頭頭頭頭
1299	正月庚辰平陵令舜里有秩斗令史
1300	卒李子孫 ， 丶 ， 丿
1301	日勒騎士富昌里賢
1302	田卒平干國南和里公士李未年卅二
1303	富貴里 ， ~ ，  ~
1304	"拜就賢
忠府徒夷胡隧長司馬章署登山隧忠不以時遣章詣隧"
1305	護眾子男霸成
1306	 ， 軺車一乘馬二匹
1307	案券墨臧官者黃龍
1308	郡李丨
1309	伏伏遊卿欲不遊
1310	"槖他候移肩候官寫移書到
令史利親"
1311	"其四封張掖長史三詣居延都尉一詣居延 ， 一封酒泉大守章詣居延都尉 ， 十月丙寅失中時縣受沙頭卒
封張掖大守章詣居延都尉 ， 一封張掖都尉章詣槖佗 ， 付莫當
二封觻得令印一詣肩水候官一詣居延 ， 一封昭武置丞詣居延 ， 一檄會水北界郵印詣居延都尉"
1312	肩水候官
1313	肩水金關
1314	"出茭千束付從吏丁當
凡出茭五千二百束
今餘廿五萬四百卌束
其十一萬束積故"
1315	
1316	"子計
取牛寬一直卌五 ， 酒一斗付廣地卒 ， 治廿 ， 錢卅 ， 又糒一鬥十三
麥五斗直卌五 ， 酒二斗飲內中 ， 飯錢六 ， 又取錢卅予沙頭卒 ， 布單衣廿
中 ， 糒一斗十三 ， 薤束六 ， 又卌取堂上 ， 又卌七
錢廿七"
1317	子丑
1318	有方一
1319	"月庚申朔癸未都鄉佐仁敢之界戍里
步當得傳移所過縣邑如律令
茂陵令賢丞可移所過/令史訢"
1320	"界戍里
茂陵令印"
1321	出錢六百受士吏
1322	部候史稾矢九十一
1323	候泠
1324	匹
1325	傳出 ， 牛車一兩 ， 劍一
1326	弘農郡陝縣楊舒里孟毋傷 ， 牛車一兩
1327	葆同縣安定里公乘張忠年卌五長七尺
1328	隧士吏前部右曲後官
1329	又入正月二月奉千七百
1330	十七 ， 茭三束直
1331	遂卒樂壽
1332	曹卒卅八人
1333	王卿取豆二斗， 伏伏
1334	河南雒陽督都里路安
1335	戍卒梁國睢陽曲陽里不更李終人年廿四
1336	五鳳元年八月丁亥朔甲午居延都尉德謂
1337	戍卒魏郡內黃光都里李通年廿六
1338	官事毋敢負將
1339	
1340	出六月癸酉入
1341	沙上卒武強
1342	居延佐張齊
1343	平里魯年子
1344	將轉軺重車百 ， 廿
1345	候長宋萬元功勞
1346	"予彭長君急毋報
問若強飯察縣官事"
1347	"
傳
少翁"
1348	"楊放
馬一匹白駹牡齒
馬一匹駣騂牡齒"
1349	"常賢伏地
丈人足下善毋"
1350	塞事會
1351	"本始五年十二月甲午朔己亥西鄉守有秩千
毋獄事當為傳移過所縣邑毋苛留敢"
1352	"章曰
觻得丞印"
1353	居延農嗇夫彊大常
1354	田卒趙國襄國恩
1355	黑色
1356	傿陵邑東中里公乘壽未央
1357	毋苛留敢言之閏月辛酉少嗇夫眾敢言之
1358	八月戊申居延令
1359	
1360	雒陽廣都里雍壽
1361	二人私從
1362	言之候長治所
1363	元年
1364	
1365	東陽里公乘
1366	戊寅關嗇
1367	丞印
1368	
1369	淮陽新郪陽安里卜免 ， ~
1370	淮陽郡新郪陰里黃得 ， ~
1371	淮陽新郪里陳橫 ， ~
1372	淮陽新郪當市里周餘 ，　逋 ， ~
1373	守林五石弩一完
1374	"
直廿出錢 ， 出錢二百六十 ， 出錢百卅為進
 ， 出錢百卅 ， 六千直"
1375	魏郡平恩侯國平曲里大夫石賜年廿五
1376	槖他候福為致
1377	不可入腸•治
1378	歲之中有疾病
1379	
1380	十二月壬
1381	望金關隧
1382	"敢言之壽貴里男子耿
年五十二爵不更毋官獄徵事"
1383	"言之肩水金關
明都尉府謹移"
1384	馬三匹丨
1385	"一乘
馬三匹"
1386	田卒襄國陳西里簪
1387	戍卒鉅鹿郡曲周
1388	長成綰
1389	免自言從故吏
1390	大奴適長七尺
1391	年卌二
1392	先登隧
1393	十五歲長六尺黑
1394	•右故官功墨
1395	出豆
1396	地節二年十二月
1397	令敞行離鄉
1398	夫慶喜以來
1399	里不更杜萬年=十八
1400	大河郡東平陸倉東里
1401	"石粟
糓"
1402	長安
1403	里不更朱舍人年廿四 ， 庸同縣東陽里不
1404	"尊年卌二歲
北鄉佐安世敢告
縣邑如律令"
1405	延督成里使邊隧
1406	里樊
1407	者省擇其十人作牛車輸工遣詣天水郡
1408	"十月癸巳左後候長誼
十二月甲申左後候長誼敢言之"
1409	肩水金關
1410	"兄昌年卌五 ， 昌子男賀年十三
妻女成年卅五丿 ， 昌子男嘉年十一"
1411	年八月遣案比更封如律令敢言之
1412	肩水金關居延縣索
1413	"言永始元年
移過所河津關毋"
1414	"右前騎士關都里
右前騎士關都里王
右前騎士白石里孟賀 ， 左前
中營右騎士千秋里龍昌 ， 左前騎士
中營右騎士累山里亓襃 ， 左前"
1415	"匽
師"
1416	金關
1417	肩水金關
1418	"義行候事移肩水金關遣
迎錢城倉書到處如"
1419	置佐安
1420	"為守府掾
行部中有毋言"
1421	"移府書曰守府都吏
以時入或受寄穀"
1422	屬
1423	庚子朔已丑肩水司馬令史翟延
1424	廣長雒三寸置三錢其中祝曰睪溫
1425	府庫徒觻得安國里馬禹年廿七歲
1426	河津關
1427	肩水
1428	"用馬一匹駠駮齒七歲高五尺八寸
六尺"
1429	報邊當令郵亭從
1430	都吏旦食會水接莫
1431	買雞來願擇大者上
1432	"五月戊子朔自言父居延
 ， 年廿歲毋官獄徵"
1433	以令取傳謹案豐武非亡人命當得
1434	李延卿記 ， 子文
1435	元延四年三月庚辰朔辛巳居延庫丞
1436	" ， 肩水守府所移
 ， 責錢"
1437	毋六畜
1438	壙野隧長鄧卿百五十
1439	
1440	明明
1441	千五十已得八百少二百
1442	"守屬胡長
軺車一乘
用馬一匹驃牡齒五歲"
1443	言之廷移府檄
1444	"治事元毋檢
嗇夫坐前"
1445	"鄧博叩頭言
嗇夫坐前見"
1446	莫當隧卒頤日食
1447	陬里杜信年卌七
1448	金關
1449	滎陽樂李年卅八
1450	其一釜張卿百敦君五十丁韋君粟錢李子方魚錢
1451	張子方百——府六六五五六六八八九十
1452	居延關都里公士
1453	歲重里賞
1454	枚便里十枚以郵行
1455	支文夫更丈丈丈丈
1456	肩水司馬肩水
1457	馬建德等
1458	慶字守卒使大
1459	室比相
1460	日勒男子趙子惠責置錢百七十四十五凡直
1461	"元延三年四月吏
民出入關致"
1462	"元延三年四月吏
民出入關致"
1463	元延三年正月吏
1464	民出入關致
1465	卒南陽杜衍利陽里公乘陳副年卅五長七尺二寸 ， 丿 ， 出
1466	治渠卒河東汾陰承反里公乘孫順年卅三 ， 出
1467	卒南陽山都習里公乘屚登年卅六長七尺二寸 ， 丿 ，　出
1468	奉明樂陵里向護年五十八 ， 字君都
1469	"鬼新蕭登
故為甲渠守尉坐以縣官事歐笞戍卒尚勃讞爵減
元延二十一月丁亥論 ， 故觻得安漢里正月辛酉入"
1470	"王嚴叩頭白
李長叔君急責人酒屬得二斗內之責人"
1471	願且復給三斗叩頭幸=甚=
1472	"河平四年二月甲申朔丙午倉嗇夫望敢言之故魏郡原城陽宜里王禁自言二年戍屬居延犯法論會正月甲子赦
令免為庶人願歸故縣謹案律曰徒事已毋糧謹故官為封偃檢縣次續食給法所當得謁移過所津關毋
苛留止原城收事敢言之
二月丙午居令博移過所如律令 ， 掾宣嗇夫望佐忠"
1473	侯定等六十人官牛
1474	•居延=水本始四年涇渠延袤溉田簿
1475	綏和六年三月已巳朔癸酉肩水候憲
1476	毋忽如律令
1477	候史觻得博厚里孫奉憙
1478	令史受報如府 ， 書律令
1479	十一月戊寅出
1480	要害隧長杜護五月食
1481	肩水金關
1482	"廄佐范惲 ， 用馬一匹騮牡齒七歲高五尺八寸
十月辛丑入
十一月甲子出"
1483	"己丑朔丙申居延令肩水金關遣亭長張永從令封
當舍傳舍從者如律令/掾宗守令詡佐昌"
1484	元延元年五月
1485	元延四年
1486	廄佐蘇博 ， 十一月甲子出　，　用馬
1487	皮氏陽里靳於年廿八
1488	戊寅丁卯蚤食時行有三憙失時行
1489	穀十五萬六千一百卌二石六斗四升少其四千
1490	•凡麥萬一千二百卅七石一斗五升少
1491	關嗇夫李欽六月食
1492	出粟二石 ， 廩臨田隧長宋輔七月食
1493	祿福始昌里
1494	四月乙丑北守亭長良出 ， 卩
1495	單衣小頭字子文軺車一乘馬一匹騂牡齒八歲高五
1496	金關如律令/兼掾放卒史殷書佐廣鳳
1497	九月食 ， 自取
1498	年卅長七尺二寸黑色 ， 軺車一乘馬一匹 ， 弓一矢十二枚 ， 六月癸酉入 ， 丿
1499	一頭 ， 十一月
1500	•檄言觻得廄
1501	河內郡蕩邑陽里公乘藉
1502	和宜便里年卅三歲姓吳氏故驪靬苑斗食嗇夫迺神爵二年三月庚寅以功次遷為
1503	史元破羌將軍史迹迹迹過過過何一步蘭入天
1504	"王嚴
河平二年九月壬子居延庫守丞賀為轉 ， 九月
上計大守府"
1505	"                    神爵二年五月乙巳朔甲戌 ， 士吏吳樂就
取四月甲午盡六月奉"
1506	"道官河津金關毋苛留止敢言之
移過所縣道官河津金關毋苛"
1507	"月甲申出 ， 張掖大守護長史芒庫令建兼行丞事
亭 ， 謂觻得以次為駕當舍傳舍如律令"
1508	"五鳳二年六月壬午
水候福謂嗇夫光"
1509	會水候印
1510	肩水候官
1511	肩水候官以郵行
1512	大初五年
1513	"宣叩頭白
單卿坐前毋恙虜辨事前日厚賜宣
宣欲持少=前因倉卒置去今"
1514	"謹因使奉之詣前宣叩頭再拜
奏
單卿"
1515	淮陽國圉里公乘孟漢卅一 ， 庸同縣朝陽里公乘朱害年
